NSE-Nifty,Year,Prev_NSE,Change%
154.11000061035156,2021,155.75999450683594,-1.06
152.55999755859375,2021,154.11000061035156,-1.01
153.91000366210938,2021,156.02000427246094,-1.35
149.47999572753906,2021,152.4600067138672,-1.95
146.10000610351562,2021,147.99000549316406,-1.28
157.17999267578125,2021,160.4199981689453,-2.02
156.14999389648438,2021,161.8699951171875,-3.53
161.1999969482422,2021,162.97999572753906,-1.09
157.8800048828125,2021,159.7899932861328,-1.2
156.1199951171875,2021,157.8800048828125,-1.11
156.08999633789062,2021,158.35000610351562,-1.43
153.86000061035156,2021,156.08999633789062,-1.43
156.9600067138672,2021,158.6999969482422,-1.1
154.0800018310547,2021,158.77999877929688,-2.96
154.08999633789062,2021,156.4199981689453,-1.49
157.0,2021,159.10000610351562,-1.32
187.86000061035156,2021,189.82000732421875,-1.03
190.19000244140625,2021,192.1999969482422,-1.05
193.67999267578125,2021,196.5399932861328,-1.46
191.16000366210938,2021,193.67999267578125,-1.3
188.52999877929688,2021,192.13999938964844,-1.88
184.50999450683594,2021,189.50999450683594,-2.64
186.0,2021,187.99000549316406,-1.06
183.00999450683594,2021,186.0,-1.61
183.77000427246094,2021,186.6199951171875,-1.53
179.92999267578125,2021,183.77000427246094,-2.09
