Name,MarketCap,Sector,Symbol
UltraTech Cem.,241601.6,Cement,ULTRACEMCO
Shree Cement,96880.96,Cement,SHREECEM
Ambuja Cements,87348.53,Cement,AMBUJACEM
Dalmia BharatLtd,42992.27,Cement,DALBHARAT
ACC,37753.69,Cement,ACC
J K Cements,25112.57,Cement,JKCEMENT
The Ramco Cement,23537.08,Cement,RAMCOCEM
Nuvoco Vistas,13036.2,Cement,NUVOCO
Birla Corpn.,9891.93,Cement,BIRLACORPN
JK Lakshmi Cem.,7988.03,Cement,JKLAKSHMI
Pidilite Inds.,124039.53,Chemicals,PIDILITIND
SRF,66677.8,Chemicals,SRF
Linde India,50774.01,Chemicals,LINDEINDIA
Solar Industries,43616.21,Chemicals,SOLARINDS
Gujarat Fluoroch,33503.7,Chemicals,FLUOROCHEM
Deepak Nitrite,28921.46,Chemicals,DEEPAKNTR
Tata Chemicals,26270.85,Chemicals,TATACHEM
Atul,20794.21,Chemicals,ATUL
Godrej Industrie,19179.46,Chemicals,GODREJIND
Vinati Organics,18978.19,Chemicals,VINATIORGA
